geneid,term,,,,,,,,,,,,
TcCLB.503893.120,mitochondrion,,,,,,,,,,,,
TcCLB.416883.9,mitochondrion,,,,,,,,,,,,
TcCLB.506181.97,mitochondrion,,,,,,,,,,,,
TcCLB.511367.330,mitochondrion,,,,,,,,,,,,
C4B63_32g52,mitochondrion,,,,,,,,,,,,
C4B63_348g22,mitochondrion,,,,,,,,,,,,
C4B63_259g10,mitochondrion,,,,,,,,,,,,
C4B63_26g264,mitochondrion,,,,,,,,,,,,
C4B63_134g62,mitochondrion,,,,,,,,,,,,
C4B63_35g157,mitochondrion,,,,,,,,,,,,
C4B63_42g78,mitochondrion,,,,,,,,,,,,
C4B63_18g1144c,mitochondrion,,,,,,,,,,,,
C4B63_13g1646c,mitochondrion,,,,,,,,,,,,
C4B63_9g1532c,mitochondrion,,,,,,,,,,,,
C4B63_22g162,mitochondrion,,,,,,,,,,,,
C4B63_33g571c,mitochondrion,,,,,,,,,,,,
C4B63_216g142c,mitochondrion,,,,,,,,,,,,
TcCLB.511577.144,mitochondrion,,,,,,,,,,,,
TcCLB.508265.44,mitochondrion,,,,,,,,,,,,
C4B63_41g193,mitochondrion,,,,,,,,,,,,
C4B63_47g33,mitochondrion,,,,,,,,,,,,
C4B63_100g73,cortical cytoskeleton,,,,,,,,,,,,
C4B63_106g49,cortical cytoskeleton,,,,,,,,,,,,
C4B63_106g57,cortical cytoskeleton,,,,,,,,,,,,
C4B63_107g46,cortical cytoskeleton,,,,,,,,,,,,
C4B63_107g50,cortical cytoskeleton,,,,,,,,,,,,
C4B63_107g65,cortical cytoskeleton,,,,,,,,,,,,
C4B63_109g47,cortical cytoskeleton,,,,,,,,,,,,
C4B63_115g68,cortical cytoskeleton,,,,,,,,,,,,
C4B63_11g116,cortical cytoskeleton,,,,,,,,,,,,
C4B63_11g121,cortical cytoskeleton,,,,,,,,,,,,
C4B63_11g229,cortical cytoskeleton,,,,,,,,,,,,
C4B63_11g230,cortical cytoskeleton,,,,,,,,,,,,
C4B63_11g316,cortical cytoskeleton,,,,,,,,,,,,
C4B63_120g31,cortical cytoskeleton,,,,,,,,,,,,
C4B63_120g50,cortical cytoskeleton,,,,,,,,,,,,
C4B63_121g78,cortical cytoskeleton,,,,,,,,,,,,
C4B63_122g39,cortical cytoskeleton,,,,,,,,,,,,
C4B63_126g25,cortical cytoskeleton,,,,,,,,,,,,
C4B63_126g28,cortical cytoskeleton,,,,,,,,,,,,
C4B63_12g112,cortical cytoskeleton,,,,,,,,,,,,
C4B63_132g35,cortical cytoskeleton,,,,,,,,,,,,
C4B63_139g64,cortical cytoskeleton,,,,,,,,,,,,
C4B63_144g17,cortical cytoskeleton,,,,,,,,,,,,
C4B63_155g9,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g156,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g197,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g218,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g255,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g337,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g399,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g415,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g455,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g50,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g503,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g79,cortical cytoskeleton,,,,,,,,,,,,
C4B63_15g86,cortical cytoskeleton,,,,,,,,,,,,
C4B63_169g32,cortical cytoskeleton,,,,,,,,,,,,
C4B63_16g182,cortical cytoskeleton,,,,,,,,,,,,
C4B63_172g41,cortical cytoskeleton,,,,,,,,,,,,
C4B63_197g29,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g1004,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g105,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g1078,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g1084,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g1233,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g1315,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g221,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g281,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g305,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g367,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g533,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g550,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g576,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g602,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g607,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g818,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g896,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g901,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g930,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g957,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g968,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g983,cortical cytoskeleton,,,,,,,,,,,,
C4B63_1g997,cortical cytoskeleton,,,,,,,,,,,,
C4B63_22g125,cortical cytoskeleton,,,,,,,,,,,,
C4B63_27g277,cortical cytoskeleton,,,,,,,,,,,,
C4B63_27g291,cortical cytoskeleton,,,,,,,,,,,,
C4B63_27g321,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g133,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g283,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g288,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g330,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g36,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g372,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g447,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g56,cortical cytoskeleton,,,,,,,,,,,,
C4B63_29g78,cortical cytoskeleton,,,,,,,,,,,,
C4B63_33g126,cortical cytoskeleton,,,,,,,,,,,,
C4B63_33g366,cortical cytoskeleton,,,,,,,,,,,,
C4B63_34g127,cortical cytoskeleton,,,,,,,,,,,,
C4B63_34g146,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g111,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g128,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g310,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g44,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g46,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g48,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g49,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g52,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g55,cortical cytoskeleton,,,,,,,,,,,,
C4B63_36g93,cortical cytoskeleton,,,,,,,,,,,,
C4B63_37g134,cortical cytoskeleton,,,,,,,,,,,,
C4B63_37g172,cortical cytoskeleton,,,,,,,,,,,,
C4B63_37g180,cortical cytoskeleton,,,,,,,,,,,,
C4B63_39g110,cortical cytoskeleton,,,,,,,,,,,,
C4B63_39g112,cortical cytoskeleton,,,,,,,,,,,,
C4B63_39g238,cortical cytoskeleton,,,,,,,,,,,,
C4B63_39g65,cortical cytoskeleton,,,,,,,,,,,,
C4B63_39g98,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g1022,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g1033,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g1036,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g1068,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g207,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g355,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g380,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g447,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g496,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g560,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g581,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g614,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g627,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g774,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g829,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g899,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g932,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g956,cortical cytoskeleton,,,,,,,,,,,,
C4B63_3g999,cortical cytoskeleton,,,,,,,,,,,,
C4B63_50g220,cortical cytoskeleton,,,,,,,,,,,,
C4B63_50g239,cortical cytoskeleton,,,,,,,,,,,,
C4B63_53g206,cortical cytoskeleton,,,,,,,,,,,,
C4B63_53g60,cortical cytoskeleton,,,,,,,,,,,,
C4B63_54g103,cortical cytoskeleton,,,,,,,,,,,,
C4B63_56g142,cortical cytoskeleton,,,,,,,,,,,,
C4B63_59g102,cortical cytoskeleton,,,,,,,,,,,,
C4B63_59g230,cortical cytoskeleton,,,,,,,,,,,,
C4B63_59g46,cortical cytoskeleton,,,,,,,,,,,,
C4B63_59g51,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g202,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g274,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g297,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g308,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g372,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g380,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g39,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g398,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g424,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g43,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g641,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g692,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g698,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g72,cortical cytoskeleton,,,,,,,,,,,,
C4B63_62g138,cortical cytoskeleton,,,,,,,,,,,,
C4B63_62g175,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g174,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g54,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g58,cortical cytoskeleton,,,,,,,,,,,,
C4B63_67g98,cortical cytoskeleton,,,,,,,,,,,,
C4B63_68g77,cortical cytoskeleton,,,,,,,,,,,,
C4B63_69g41,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g106,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g129,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g137,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g23,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g26,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g96,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g101,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g141,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g167,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g179,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g181,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g253,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g75,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g80,cortical cytoskeleton,,,,,,,,,,,,
C4B63_91g63,cortical cytoskeleton,,,,,,,,,,,,
C4B63_96g27,cortical cytoskeleton,,,,,,,,,,,,
C4B63_96g81,cortical cytoskeleton,,,,,,,,,,,,
C4B63_98g33,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g81,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g82,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g83,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g84,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g85,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g86,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g87,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g88,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g90,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g92,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g93,cortical cytoskeleton,,,,,,,,,,,,
C4B63_47g23,endoplasmic reticulum,,,,,,,,,,,,
C4B63_135g21,endoplasmic reticulum,,,,,,,,,,,,
C4B63_104g78,endoplasmic reticulum,,,,,,,,,,,,
C4B63_255g21,endoplasmic reticulum,,,,,,,,,,,,
C4B63_10g305,proteasome,,,,,,,,,,,,
C4B63_10g510,proteasome,,,,,,,,,,,,
C4B63_10g511,proteasome,,,,,,,,,,,,
C4B63_112g19,proteasome,,,,,,,,,,,,
C4B63_122g21,proteasome,,,,,,,,,,,,
C4B63_12g396,proteasome,,,,,,,,,,,,
C4B63_13g138,proteasome,,,,,,,,,,,,
C4B63_13g211,proteasome,,,,,,,,,,,,
C4B63_14g170,proteasome,,,,,,,,,,,,
C4B63_14g52,proteasome,,,,,,,,,,,,
C4B63_17g111,proteasome,,,,,,,,,,,,
C4B63_18g138,proteasome,,,,,,,,,,,,
C4B63_202g4,proteasome,,,,,,,,,,,,
C4B63_234g11,proteasome,,,,,,,,,,,,
C4B63_23g31,proteasome,,,,,,,,,,,,
C4B63_25g312,proteasome,,,,,,,,,,,,
C4B63_27g180,proteasome,,,,,,,,,,,,
C4B63_27g4,proteasome,,,,,,,,,,,,
C4B63_28g122,proteasome,,,,,,,,,,,,
C4B63_28g57,proteasome,,,,,,,,,,,,
C4B63_2g1132c,proteasome,,,,,,,,,,,,
C4B63_2g302,proteasome,,,,,,,,,,,,
C4B63_2g527,proteasome,,,,,,,,,,,,
C4B63_2g692,proteasome,,,,,,,,,,,,
C4B63_34g309,proteasome,,,,,,,,,,,,
C4B63_35g173,proteasome,,,,,,,,,,,,
C4B63_40g46,proteasome,,,,,,,,,,,,
C4B63_43g129,proteasome,,,,,,,,,,,,
C4B63_43g135,proteasome,,,,,,,,,,,,
C4B63_46g106,proteasome,,,,,,,,,,,,
C4B63_47g88,proteasome,,,,,,,,,,,,
C4B63_48g131,proteasome,,,,,,,,,,,,
C4B63_48g135,proteasome,,,,,,,,,,,,
C4B63_4g525,proteasome,,,,,,,,,,,,
C4B63_4g528,proteasome,,,,,,,,,,,,
C4B63_4g92,proteasome,,,,,,,,,,,,
C4B63_54g62,proteasome,,,,,,,,,,,,
C4B63_6g421,proteasome,,,,,,,,,,,,
C4B63_6g586,proteasome,,,,,,,,,,,,
C4B63_70g80,proteasome,,,,,,,,,,,,
C4B63_76g37,proteasome,,,,,,,,,,,,
C4B63_76g43,proteasome,,,,,,,,,,,,
C4B63_78g11,proteasome,,,,,,,,,,,,
C4B63_78g13,proteasome,,,,,,,,,,,,
C4B63_78g44,proteasome,,,,,,,,,,,,
C4B63_79g26,proteasome,,,,,,,,,,,,
C4B63_7g423,proteasome,,,,,,,,,,,,
C4B63_80g34,proteasome,,,,,,,,,,,,
C4B63_83g29,proteasome,,,,,,,,,,,,
C4B63_89g44,proteasome,,,,,,,,,,,,
C4B63_89g62,proteasome,,,,,,,,,,,,